time,price,volume,log_return
2010-10-04 09:00:00,221781.52509999883,777445.0,
2010-10-04 10:00:00,320591.5484999909,921118.0,0.3684751021823608
2010-10-04 11:00:00,460151.1255000108,1472168.0,0.36138709090515475
2010-10-04 12:00:00,375622.58450000477,1157879.0,-0.20297009457027126
2010-10-04 13:00:00,321020.50410000706,1062460.0,-0.15707987786216088
2010-10-04 14:00:00,246900.50120000337,723460.0,-0.26251957047027114
2010-10-04 15:00:00,585291.5873000388,1961560.0,0.8631247365603779
2010-10-04 16:00:00,184.95,478972.0,-8.059779923584788
2010-10-04 17:00:00,,,
2010-10-04 18:00:00,,,
2010-10-04 19:00:00,,,
2010-10-04 20:00:00,,,
2010-10-04 21:00:00,,,
2010-10-04 22:00:00,,,
2010-10-04 23:00:00,,,
2010-10-05 00:00:00,,,
2010-10-05 01:00:00,,,
2010-10-05 02:00:00,,,
2010-10-05 03:00:00,,,
2010-10-05 04:00:00,,,
2010-10-05 05:00:00,,,
2010-10-05 06:00:00,,,
2010-10-05 07:00:00,,,
2010-10-05 08:00:00,,,
2010-10-05 09:00:00,356019.2508999962,1101896.0,
2010-10-05 10:00:00,640139.0508999564,2132985.0,0.586700614834049
2010-10-05 11:00:00,397740.46439999196,1754698.0,-0.4758857267082601
2010-10-05 12:00:00,321651.8430999991,1112103.0,-0.21232996509552834
2010-10-05 13:00:00,348990.20560001023,1494821.0,0.08157412964322126
2010-10-05 14:00:00,290283.1447999928,974326.0,-0.18418704959621304
2010-10-05 15:00:00,636898.7933999771,2328019.0,0.7857539548575031
2010-10-05 16:00:00,1758.394999999999,943032.0,-5.892209301717468
2010-10-05 17:00:00,,,
2010-10-05 18:00:00,,,
2010-10-05 19:00:00,,,
2010-10-05 20:00:00,,,
2010-10-05 21:00:00,,,
2010-10-05 22:00:00,,,
2010-10-05 23:00:00,,,
2010-10-06 00:00:00,,,
2010-10-06 01:00:00,,,
2010-10-06 02:00:00,,,
2010-10-06 03:00:00,,,
2010-10-06 04:00:00,,,
2010-10-06 05:00:00,,,
2010-10-06 06:00:00,,,
2010-10-06 07:00:00,,,
2010-10-06 08:00:00,,,
2010-10-06 09:00:00,338117.5626999979,1226349.0,
2010-10-06 10:00:00,384825.0600000063,1141129.0,0.12939518776398326
2010-10-06 11:00:00,352913.1484000032,1226767.0,-0.08656685327721896
2010-10-06 12:00:00,431015.5093000257,1416241.0,0.19992208577718906
2010-10-06 13:00:00,300295.5676000001,995438.0,-0.36137685893754223
2010-10-06 14:00:00,490447.72540001565,1853377.0,0.4905514842443763
2010-10-06 15:00:00,674184.7169999959,2626039.0,0.3181854349773791
2010-10-06 16:00:00,189.58,550551.0,-8.176448314152593
2010-10-06 17:00:00,,,
2010-10-06 18:00:00,,,
2010-10-06 19:00:00,,,
2010-10-06 20:00:00,,,
2010-10-06 21:00:00,,,
2010-10-06 22:00:00,,,
2010-10-06 23:00:00,,,
2010-10-07 00:00:00,,,
2010-10-07 01:00:00,,,
2010-10-07 02:00:00,,,
2010-10-07 03:00:00,,,
2010-10-07 04:00:00,,,
2010-10-07 05:00:00,,,
2010-10-07 06:00:00,,,
2010-10-07 07:00:00,,,
2010-10-07 08:00:00,,,
2010-10-07 09:00:00,432040.2613999952,1448501.0,
2010-10-07 10:00:00,505781.58449998783,1617759.0,0.15758614332683027
2010-10-07 11:00:00,426713.2587000007,1275203.0,-0.1699926625516948
2010-10-07 12:00:00,375035.7282000099,1128570.0,-0.12909096572974166
2010-10-07 13:00:00,293447.3640000054,1123377.0,-0.24532301245896265
2010-10-07 14:00:00,324745.89100000827,982214.0,0.1013447184877522
2010-10-07 15:00:00,529561.7354999798,1856484.0,0.4890067476522516
2010-10-07 16:00:00,379.30219999999997,317236.0,-7.241471780459003
2010-10-07 17:00:00,,,
2010-10-07 18:00:00,,,
2010-10-07 19:00:00,,,
2010-10-07 20:00:00,,,
2010-10-07 21:00:00,,,
2010-10-07 22:00:00,,,
2010-10-07 23:00:00,,,
2010-10-08 00:00:00,,,
2010-10-08 01:00:00,,,
2010-10-08 02:00:00,,,
2010-10-08 03:00:00,,,
2010-10-08 04:00:00,,,
2010-10-08 05:00:00,,,
2010-10-08 06:00:00,,,
2010-10-08 07:00:00,,,
2010-10-08 08:00:00,,,
2010-10-08 09:00:00,262264.75290000555,906303.0,
2010-10-08 10:00:00,297966.43889999844,876804.0,0.1276263582279584
2010-10-08 11:00:00,255027.9202000023,731162.0,-0.1556078288770954
2010-10-08 12:00:00,193258.88909999994,558186.0,-0.2773423458053264
2010-10-08 13:00:00,269390.98990000156,797762.0,0.3321331340140665
2010-10-08 14:00:00,266825.28220000345,927988.0,-0.009569747932348403
2010-10-08 15:00:00,550541.2826999732,1831314.0,0.7243078742101151
2010-10-08 16:00:00,694.4300000000001,314891.0,-6.675565858435867
2010-10-08 17:00:00,,,
2010-10-08 18:00:00,,,
2010-10-08 19:00:00,,,
2010-10-08 20:00:00,,,
2010-10-08 21:00:00,,,
2010-10-08 22:00:00,,,
2010-10-08 23:00:00,,,
2010-10-09 00:00:00,,,
2010-10-09 01:00:00,,,
2010-10-09 02:00:00,,,
2010-10-09 03:00:00,,,
2010-10-09 04:00:00,,,
2010-10-09 05:00:00,,,
2010-10-09 06:00:00,,,
2010-10-09 07:00:00,,,
2010-10-09 08:00:00,,,
2010-10-09 09:00:00,,,
2010-10-09 10:00:00,,,
2010-10-09 11:00:00,,,
2010-10-09 12:00:00,,,
2010-10-09 13:00:00,,,
2010-10-09 14:00:00,,,
2010-10-09 15:00:00,,,
2010-10-09 16:00:00,,,
2010-10-09 17:00:00,,,
2010-10-09 18:00:00,,,
2010-10-09 19:00:00,,,
2010-10-09 20:00:00,,,
2010-10-09 21:00:00,,,
2010-10-09 22:00:00,,,
2010-10-09 23:00:00,,,
2010-10-10 00:00:00,,,
2010-10-10 01:00:00,,,
2010-10-10 02:00:00,,,
2010-10-10 03:00:00,,,
2010-10-10 04:00:00,,,
2010-10-10 05:00:00,,,
2010-10-10 06:00:00,,,
2010-10-10 07:00:00,,,
2010-10-10 08:00:00,,,
2010-10-10 09:00:00,,,
2010-10-10 10:00:00,,,
2010-10-10 11:00:00,,,
2010-10-10 12:00:00,,,
2010-10-10 13:00:00,,,
2010-10-10 14:00:00,,,
2010-10-10 15:00:00,,,
2010-10-10 16:00:00,,,
2010-10-10 17:00:00,,,
2010-10-10 18:00:00,,,
2010-10-10 19:00:00,,,
2010-10-10 20:00:00,,,
2010-10-10 21:00:00,,,
2010-10-10 22:00:00,,,
2010-10-10 23:00:00,,,
2010-10-11 00:00:00,,,
2010-10-11 01:00:00,,,
2010-10-11 02:00:00,,,
2010-10-11 03:00:00,,,
2010-10-11 04:00:00,,,
2010-10-11 05:00:00,,,
2010-10-11 06:00:00,,,
2010-10-11 07:00:00,,,
2010-10-11 08:00:00,,,
2010-10-11 09:00:00,243672.61559999926,926375.0,
2010-10-11 10:00:00,374102.876000005,1179569.0,0.42870524409784827
2010-10-11 11:00:00,227984.52939999392,619241.0,-0.4952530559650892
2010-10-11 12:00:00,192992.71940000172,604119.0,-0.16662530826619865
2010-10-11 13:00:00,137480.72620000172,405705.0,-0.33916873068672654
2010-10-11 14:00:00,264917.8062000018,756126.0,0.6559358784014466
2010-10-11 15:00:00,469721.8692000104,1490396.0,0.5727211392889527
2010-10-11 16:00:00,253.16,569.0,-7.525874330955995
2010-10-11 17:00:00,,,
2010-10-11 18:00:00,,,
2010-10-11 19:00:00,,,
2010-10-11 20:00:00,,,
2010-10-11 21:00:00,,,
2010-10-11 22:00:00,,,
2010-10-11 23:00:00,,,
2010-10-12 00:00:00,,,
2010-10-12 01:00:00,,,
2010-10-12 02:00:00,,,
2010-10-12 03:00:00,,,
2010-10-12 04:00:00,,,
2010-10-12 05:00:00,,,
2010-10-12 06:00:00,,,
2010-10-12 07:00:00,,,
2010-10-12 08:00:00,,,
2010-10-12 09:00:00,345522.0329000054,1173096.0,
2010-10-12 10:00:00,483523.05369999324,1404089.0,0.33604258239441165
2010-10-12 11:00:00,300770.2990000083,799255.0,-0.4747521474513051
2010-10-12 12:00:00,199648.2838999973,553884.0,-0.4097896092439232
2010-10-12 13:00:00,161362.25339999958,399676.0,-0.21290537933453305
2010-10-12 14:00:00,425500.66369999666,1156578.0,0.9696146492286474
2010-10-12 15:00:00,660675.8113999629,2121650.0,0.43999675997685767
2010-10-12 16:00:00,253.22,560644.0,-7.8667598706910775
2010-10-12 17:00:00,,,
2010-10-12 18:00:00,,,
2010-10-12 19:00:00,,,
2010-10-12 20:00:00,,,
2010-10-12 21:00:00,,,
2010-10-12 22:00:00,,,
2010-10-12 23:00:00,,,
2010-10-13 00:00:00,,,
2010-10-13 01:00:00,,,
2010-10-13 02:00:00,,,
2010-10-13 03:00:00,,,
2010-10-13 04:00:00,,,
2010-10-13 05:00:00,,,
2010-10-13 06:00:00,,,
2010-10-13 07:00:00,,,
2010-10-13 08:00:00,,,
2010-10-13 09:00:00,381932.6357999957,1567449.0,
2010-10-13 10:00:00,427322.0779000072,1430562.0,0.11229376271563196
2010-10-13 11:00:00,319425.83519999677,951622.0,-0.29101289052585594
2010-10-13 12:00:00,264472.1096000025,879078.0,-0.18878931918036632
2010-10-13 13:00:00,234044.9852000006,773717.0,-0.1222224586663249
2010-10-13 14:00:00,327182.4223000048,1022096.0,0.3350045403829807
2010-10-13 15:00:00,710843.7502999698,2650461.0,0.7759347634655925
2010-10-13 16:00:00,1080.395,655007.0,-6.489125930164099
2010-10-13 17:00:00,,,
2010-10-13 18:00:00,,,
2010-10-13 19:00:00,,,
2010-10-13 20:00:00,,,
2010-10-13 21:00:00,,,
2010-10-13 22:00:00,,,
